投稿日,曲名,ニコニコ,YouTube,出演者,イラスト,本家様,本家制作,今見れる？,備考
2011/06/05,ペダルハート,nico.ms/sm14657015,－,うらた,－,nico.ms/so13743433,DECO*27,‪✕‬,
2011/06/12,パンダヒーロー,nico.ms/sm14719778,－,うらた・くす魂,朝@mohiasa（垢消し）,nico.ms/sm13386216,ハチ,‪✕‬,
2011/06/18,ペテン師が笑う頃に,nico.ms/sm14774830,－,うらた,－,nico.ms/sm7021921,梨本うい,‪✕‬,
2011/07/22,Blackjack,nico.ms/sm15088143,－,うらた・りもこん,－,nico.ms/sm12640192,ゆちゃ,〇,
2011/07/26,マジぼっち1000％,nico.ms/sm15116283,－,うらた,－,自作,うらた,‪✕‬,“マジLOVE1000％”の替え歌。概要欄の「実体験を替え歌にしました。教室って広いんだなとか中庭で食べるお弁当も日光にあたって気持ちいいなってぼっちだと痛感するんですね。」から自作の替え歌だと思われる
2011/08/01,キミ以上、ボク未満。,nico.ms/sm15183410,－,うらた,－,nico.ms/sm8298201,DECO*27,‪✕‬,
2011/08/10,トゥインクル,nico.ms/sm15269475,－,うらた,－,nico.ms/sm15016420,Junky,‪✕‬,
2011/08/28,マジLOVE1000％,nico.ms/sm15437618,－,tana・あほの坂田・うらた・エアル・きー助・りもこん,－,nico.ms/so15013657,うたの☆プリンスさまっ♪,〇,概要欄に聖川真斗の文字があるけどこれは声真似なのか…？そのまんまうらたでは………？グレー判定
2011/08/31,マジサド1000％,nico.ms/sm15474097,－,うらた（沖田総悟）,朝@mohiasa（垢消し）,自作,うらた,‪✕‬,マジLOVE1000％擦りすぎでは？替え歌・声真似
2011/09/18,マトリョシカ,nico.ms/sm15640921,－,うらた,－,nico.ms/sm11809611,ハチ,‪✕‬,
2011/10/07,東京テディベア,nico.ms/sm15816968,－,うらた,－,nico.ms/sm15308214,Neru,‪✕‬,
2011/10/23,バビロン,nico.ms/sm15966412,－,うらた,－,nico.ms/sm14332782,トーマ,‪✕‬,
2011/10/29,エンヴィキャットウォーク,nico.ms/sm16018877,－,うらた,－,nico.ms/sm15956806,トーマ,‪✕‬,
2011/11/13,ピエロ,nico.ms/sm16161340,－,うらた,－,nico.ms/sm11224129,ハヤシケイ/KEI,‪✕‬,
2011/12/02,人生リセットボタン,nico.ms/sm16323470,－,うらた,－,nico.ms/sm16110005,kemu,‪✕‬,
2011/12/15,ドSヒーロー,nico.ms/sm16431443,－,うらた（沖田総悟）,－,nico.ms/sm13386216,ハチ,‪✕‬,秒数的に多分元ネタはパンダヒーロー。声真似・替え歌
2011/12/23,PONPONPON,nico.ms/sm16499021,－,うらた（沖田総悟）,－,youtu.be/yzC4hFK5P3g?si=4a0et4oTEnlHw2X3,きゃりーぱみゅぱみゅ,‪✕‬,声真似・替え歌
2012/01/01,ゆるふわ樹海ガール,nico.ms/sm16583253,－,うらた,－,nico.ms/sm15880465,石風呂,‪✕‬,
2012/01/02,リンちゃんなう！,nico.ms/sm16591777/,－,うらた・りもこん,－,nico.ms/sm16539814,ガルナ@オワタP,‪✕‬,
2012/01/04,カゲロウデイズ,nico.ms/sm16606986,－,うらた,－,nico.ms/sm15751190,じん（自然の敵P）,‪✕‬,
2012/01/15,PONPONPON,nico.ms/sm16701690,－,うらた,－,youtu.be/yzC4hFK5P3g?si=4a0et4oTEnlHw2X3,きゃりーぱみゅぱみゅ,‪✕‬,
2012/01/20,ドレミファロンド,nico.ms/sm16743702,－,うらた,－,nico.ms/sm16719809,40mP,‪✕‬,
2012/01/28,恋愛勇者,nico.ms/sm16814914,－,うらた,－,nico.ms/sm16742993,Last.note.,‪✕‬,
2012.02/08,愛言葉,nico.ms/sm16912243,－,うらた・すこあ,－,nico.ms/sm7696158,DECO*27,‪✕‬,
2012.02/14,りっちゃんなう！,nico.ms/sm16968817,－,うらた,－,自作,うらた,‪✕‬,替え歌。名前と秒数的に元ネタはリンちゃんなう！
2012.02/19,天ノ弱,nico.ms/sm17018274,－,うらた,－,nico.ms/sm14583646,164,‪✕‬,
2012/03/09,影踏みエトランゼ,nico.ms/sm17198671,－,うらた,ラム,nico.ms/sm13434014,Substreet,‪✕‬,
2012/03/11,イカサマライフゲイム,nico.ms/sm17213276,－,うらた,－,nico.ms/sm16915126,kemu,‪✕‬,
2012/04/11,パンダヒーロー,nico.ms/sm17519498,－,うらた,－,nico.ms/sm13386216,ハチ,‪✕‬,
2012/04/21,ネコミミアーカイブ,nico.ms/sm17606647,－,うらた,－,nico.ms/sm16812983,ryt/糞田舎P,‪✕‬,
2012/05/02,六兆年と一夜物語,nico.ms/sm17708929,－,うらた,－,nico.ms/sm17520775,kemu,‪✕‬,
2012/05/05,ハッピーシンセサイザ,nico.ms/sm17745088,－,うらた,愛舞（まなぶ）,nico.ms/sm12825985,EasyPop/BETTI,‪✕‬,
2012/05/12,セツナトリップ,nico.ms/sm17805625,－,うらた,－,nico.ms/sm17720979,Last.Note.,‪✕‬,
2012/05/14,這いよれ！りっちゃん,nico.ms/sm17818453,－,うらた,－,自作,うらた,‪✕‬,替え歌
2012/05/25,え？あぁ、そう。男性視点ver,nico.ms/sm17916440,－,うらた,－,nico.ms/sm10985427,天月-あまつき-,‪✕‬,元ネタは蝶々Pのえ？あぁ、そう。
2012/06/09,メランコリック,nico.ms/sm18050433,－,うらた,HIIRO,nico.ms/sm10444862,Junky,‪✕‬,
2012/06/10,Mr.Music,nico.ms/sm18061116,－,OLD・うらた・将太・すこあ・まふまふ・DC・りもこん,naka,nico.ms/sm13774194,れるりり,〇,
2012/06/15,ネトゲ廃人シュプレヒコール,nico.ms/sm18100574,－,うらた,－,nico.ms/sm12441199,さつき が てんこもり,‪✕‬,
2012/06/20,こちら、幸福安心委員会です。,nico.ms/sm18147753,－,うらた,－,nico.ms/sm18100389,うたたP,‪✕‬,
2012/06/25,リスナーなう,nico.ms/sm18191083,－,うらた,－,自作,うらた,‪✕‬,元ネタは秒数的にリンちゃんなうだと思う。替え歌
2012/07/06,うそつき,nico.ms/sm18278477,－,うらた,－,nico.ms/sm14703600,つなま,‪✕‬,
2012/07/28,Blackjack,nico.ms/sm18464878,－,うらた,ラム,nico.ms/sm12640192,ゆちゃ,‪✕‬,
2012/08/08,カミサマネジマキ,nico.ms/sm18562030,－,うらた,－,nico.ms/sm18511216,kemu,‪✕‬,
2012/08/18,I ♥,nico.ms/sm18648488,－,うらた,－,nico.ms/sm17267606,Junky,‪✕‬,
2012/08/19,インビジブル,nico.ms/sm18660851,－,うらた・りもこん,－,nico.ms/sm16474954,kemu,‪✕‬,
2012/08/25,いーあるふぁんくらぶ,nico.ms/sm18709897,－,うらた・きー助,－,nico.ms/sm18623327,みきとP,‪✕‬,
2012/08/29,永遠に幸せになる方法、見つけました。,nico.ms/sm18746397,－,うらた・あほの坂田（うらさか）,－,nico.ms/sm18726752,うたたP,‪✕‬,
2012/09/12,ニビョウカン,nico.ms/sm18863534,－,うらた・あほの坂田（うらさか）,－,nico.ms/sm16693218,MARUDARUMA,‪✕‬,
2012/09/12,ショットガン・ラヴァーズ,nico.ms/sm18864762,－,うらた,－,nico.ms/sm12424787,のぼる↑,‪✕‬,
2012/09/22,くるみ☆ぽんちお,nico.ms/sm18947278,－,蛮・うらた・調味料・un:c・まふまふ,－,nico.ms/sm8686165,まだ仔,‪〇,
2012/10/19,二次元ドリームフィーバー,nico.ms/sm19156775,－,うらた,－,nico.ms/sm16973327,ぽりふぉ,‪✕‬,
2012/10/27,初恋の絵本-another story-（男性視点）,nico.ms/sm19216221,－,うらた,－,nico.ms/sm16308863,ヤサシスト,‪✕‬,元ネタはHoneyWorksの初恋の絵本
2012/11/08,バイビーベイビーサヨウナラ,nico.ms/sm19307641,－,うらた,－,nico.ms/sm8359269,saiB,‪✕‬,
2012/11/13,告白予行練習（男性視点ver.）,nico.ms/sm19346958,－,うらた,－,nico.ms/sm19229984,musuko,‪✕‬,元ネタはHoneyWorksの告白予行練習
2012/11/15,te-yut-te,nico.ms/sm19356702,－,あほの坂田・いのっち・うらた・ちゃげ,－,nico.ms/sm14808982,フェイP,〇,
2012/11/23,サリシノハラ-piano.ver-,nico.ms/sm19419874,－,うらた,－,nico.ms/sm19042393,みきとP,‪✕‬,
2012/12/04,誰でもいいから付き合いたい,nico.ms/sm19505403,－,うらた,－,nico.ms/sm19480546,卓球少年,‪✕‬,
2013/01/06,START,nico.ms/sm19766647,－,うらた,－,nico.ms/sm19125328,レフティーモンスター,‪✕‬,
2013/01/22,WAVE,nico.ms/sm19892185,－,うらた,－,nico.ms/sm19892185,niki,‪✕‬,
2013/02/07,WAVE,nico.ms/sm20025888,－,うらたぬき,－,nico.ms/sm19892185,niki,〇,新垢初投稿
2013/02/12,「え？あぁ、そう。 男性視点ver」,nico.ms/sm20071108,－,うらたぬき,－,nico.ms/sm10985427,天月-あまつき-,〇,元ネタは蝶々Pのえ？あぁ、そう。
2013/02/20,拙者も誰かと付き合いたい,nico.ms/sm20143161,－,うらたぬき,－,nico.ms/sm20140381,卓球少年,〇,
2013/02/23,夜咄ディセイブ-シンセ.ver.-,nico.ms/sm20168130,－,うらたぬき,－,nico.ms/sm20116702,じん,〇,
2013/02/24,こちら、幸福安心委員会です。,nico.ms/sm20177821,－,うらたぬき・あほの坂田（うらさか）,－,nico.ms/sm18100389,うたたP,〇,
2013/02/28,仇返しシンドローム,nico.ms/sm20209444,－,うらたぬき,－,nico.ms/sm19509983,まふまふ（鏡見て失神P）,〇,
2013/03/07,独りんぼエンヴィー,nico.ms/sm20269319,－,うらたぬき,－,nico.ms/sm19466301,koyori（電ポルP）,〇,
2013/03/09,ギガンティックO.T.N,nico.ms/sm20287358,－,うらたぬき,－,nico.ms/sm19532707,ギガ,〇,
2013/03/12,夢じゃない、嘘じゃない、目の前にある幸せな情景。,nico.ms/sm20313530,－,うらたぬき・あほの坂田（うらさか）,－,nico.ms/sm20304965,うたたP,〇,
2013/03/14,告白予行練習-another story-,nico.ms/sm20331660,－,うらたぬき,－,nico.ms/sm19372291,HoneyWorks,〇,
2013/03/16,ロストワンの号哭,nico.ms/sm20348928,－,うらたぬき,－,nico.ms/sm20244918,Neru,〇,
2013/03/18,ヤキモチの答え,nico.ms/sm20366846,－,うらたぬき,－,nico.ms/sm20332495,HoneyWorks,〇,
2013/03/28,サリシノハラ,nico.ms/sm20456626,－,うらたぬき,－,nico.ms/sm19042393,みきとP,〇,
2013/04/02,リンカーネーション,nico.ms/sm20502040,－,うらたぬき・センラ（裏千家）,－,nico.ms/sm20423253,kemu,〇,
2013/04/23,ロスタイムメモリー,nico.ms/sm20678949,－,うらたぬき,－,nico.ms/sm20470051,じん,〇,
2013/04/25,マジぼっち2000％,nico.ms/sm20693131,－,うらたぬき,－,nico.ms/so20520607,うたの☆プリンスさまっ♪,〇,替え歌
2013/05/01,人生リセットボタン,nico.ms/sm20746331,－,うらたぬき,－,nico.ms/sm16110005,kemu,〇,
2013/05/02,インビジブル,nico.ms/sm20750901,－,うらたぬき,－,nico.ms/sm16474954,kemu,〇,
2013/05/03,イカサマライフゲイム,nico.ms/sm20759952,－,うらたぬき,－,nico.ms/sm16915126,kemu,〇,
2013/05/04,六兆年と一夜物語,nico.ms/sm20774089,－,うらたぬき,－,nico.ms/sm17520775,kemu,〇,
2013/05/05,地球最後の告白を,nico.ms/sm20783687,－,うらたぬき,－,nico.ms/sm18198019,kemu,〇,
2013/05/06,カミサマネジマキ,nico.ms/sm20792588,－,うらたぬき,－,nico.ms/sm18511216,kemu,〇,
2013/05/10,友達!いませんｗｗｗ,nico.ms/sm20825482,－,うらたぬき,－,nico.ms/sm20694111,這いよれ！ニャル子さんw,〇,替え歌
2013/05/13,グレんの嫌だ,nico.ms/sm20885962,－,うらたぬき,－,youtu.be/749DIRUHhNY?si=QYtT0GyQysE-05UP,Linked Horizon,〇,替え歌
2013/05/24,チルドレンレコード,nico.ms/sm20940166,－,うらたぬき・コゲ犬,－,nico.ms/sm18406343,じん,〇,
2013/05/25,かくしごと,nico.ms/sm20948062,－,うらたぬき,－,nico.ms/sm20937824,まふまふ（鏡見て失神P）,〇,
2013/06/13,しんてしまうとはなさけない！,nico.ms/sm21102083,－,うらたぬき・あほの坂田（うらさか）,－,nico.ms/sm20331479,ワンオポ,〇,
2013/06/15,初恋の絵本-arrangement-,nico.ms/sm21121087,－,うらたぬき,－,nico.ms/sm17846438,halyosy,〇,元ネタはHoneyWorksの初恋の絵本
2013/06/25,ハロライン,nico.ms/sm21202895,－,うらたぬき,－,nico.ms/sm20650726,たるとP,〇,
2013/07/21,夏の日と、幽霊と、かみさま,nico.ms/sm21406616,－,うらたぬき,－,nico.ms/sm13471322,もふ,〇,
2013/08/02,ポワゾンKISS,nico.ms/sm21497024,－,浦島坂田船（うらたぬき・志麻・あほの坂田・センラ）,角倉,youtu.be/WTDYIc-8A_s?si=U73cSL0SiUC7F36s,うたの☆プリンスさまっ♪マジLOVE2000%,〇,浦島坂田船初投稿曲
2013/08/08,しわ,nico.ms/sm21539938,－,うらたぬき,－,nico.ms/sm17763107,buzzG,〇,
2013/08/13,逃走本能,nico.ms/sm21583565,－,うらたぬき,－,nico.ms/sm21552183,Last.note.,〇,
2013/09/04,威風堂々,nico.ms/sm21751831,－,うらたぬき,－,nico.ms/sm19233263,梅とら,〇,
2013/09/19,妄想税,nico.ms/sm21862784,－,うらたぬき,－,nico.ms/sm21764582,DECO*27,〇,
2013/09/22,世界寿命と最後の一日,nico.ms/sm21881028,－,うらたぬき,－,nico.ms/sm21758815,スズム,〇,
2013/10/09,愛言葉Ⅱ,nico.ms/sm22005997,－,うらたぬき,－,nico.ms/sm21986543,DECO*27,〇,
2013/10/12,聖槍爆裂ボーイ,nico.ms/sm22027115,－,うらたぬき,－,nico.ms/sm21702752,れるりり,〇,
2013/10/22,ブサメンドキュメンタリー,nico.ms/sm22115478,－,うらたぬき,－,nico.ms/sm22116466,卓球少年,〇,
2013/10/30,テレカクシ思春期,nico.ms/sm22149566,－,うらたぬき,－,nico.ms/sm22122720,HoneyWorks,〇,
2013/11/09,ドーナツホール,nico.ms/sm22219709,－,うらたぬき,－,nico.ms/sm22138447,ハチ,〇,
2013/12/19,愛迷エレジー,nico.ms/sm22487446,－,うらたぬき,－,nico.ms/sm22478322,DECO*27,〇,
2013/12/21,スーパーぬこわーるど,nico.ms/sm22497903,－,うらたぬき,－,nico.ms/sm22491239,まふまふ（鏡見て失神P）,〇,
2013/12/25,おこちゃま戦争,nico.ms/sm22529362,－,うらたぬき・あほの坂田（うらさか）,－,nico.ms/sm22349544,ギガ,〇,
2014/01/04,Liberal Life,nico.ms/sm22601667,－,うらたぬき,はにーちぇ,nico.ms/nm14030584,あな兄（linguo）,〇,
2014/01/11,アウターサイエンス,nico.ms/sm22646708,－,うらたぬき,－,nico.ms/sm21720819,じん,〇,
2014/01/17,コミュ力革命,nico.ms/sm22688190,－,うらたぬき・センラ（裏千家）,－,nico.ms/sm22682588,ゆう十,〇,
2014/02/15,ピエロ,nico.ms/sm22893377,－,うらたぬき,－,nico.ms/sm11224129,ハヤシケイ/KEI,〇,
2014/02/17,おじゃま虫,nico.ms/sm22911109,－,うらたぬき,－,nico.ms/sm22872605,DECO*27,〇,
2014/02/21,告白ライバル宣言,nico.ms/sm22937043,－,うらたぬき,－,nico.ms/sm22885875,HoneyWorks,〇,
2014/03/05,初恋学園・純愛科,nico.ms/sm23025371,－,うらたぬき・luz・kain（裏留守華音）,－,nico.ms/sm18008293,Nem,〇,
2014/03/25,ウミユリ海底譚,nico.ms/sm23176894,－,うらたぬき・kain,－,nico.ms/sm22960446,n-buna,〇,
2014/03/26,ストリーミングハート,nico.ms/sm23183026,－,うらたぬき,－,nico.ms/sm23144598,DECO*27,〇,
2014/04/05,空想世界とオモチャの心臓,nico.ms/sm23261846,－,うらたぬき,－,nico.ms/sm23253153,まふまふ（鏡見て失神P）,〇,
2014/04/26,千本桜,nico.ms/sm23414856,－,浦島坂田船（うらたぬき・志麻・あほの坂田・センラ）,－,nico.ms/sm15630734,黒うさ,〇,
2014/04/30,アンチビート,nico.ms/sm23444610,－,うらたぬき,－,nico.ms/sm23412656,DECO*27,〇,
